"restaurant_id","restaurant_name","order_id","Late_Deliveries"
288,"Urban Tadka 288",177,58
33,"Pizza Junction 33",178,60
176,"Delhi Darbar 176",182,54
260,"Biryani House 260",183,55
241,"Biryani House 241",186,57
71,"Saffron Delight 71",188,46
109,"Madras Cafe 109",198,52
193,"The Curry Leaf 193",199,54
64,"Biryani House 64",201,50
215,"Dragon Wok 215",203,59
140,"Golden Spoon 140",213,50
214,"Chai & Chat 214",215,56
41,"Golden Spoon 41",223,56
282,"Chai & Chat 282",225,58
288,"Urban Tadka 288",226,49
115,"Annapurna Bhavan 115",227,55
210,"Curry Kingdom 210",230,59
231,"Taste of Punjab 231",232,57
248,"Taste of Punjab 248",234,57
199,"Golden Spoon 199",235,58
232,"Caf̩ Masaledar 232",237,46
92,"Burger Factory 92",240,60
288,"Urban Tadka 288",241,56
147,"The Food Studio 147",242,53
53,"Chai & Chat 53",245,55
96,"Mumbai Masala 96",250,52
155,"Delhi Darbar 155",253,55
270,"Golden Spoon 270",254,53
264,"Pizza Junction 264",260,51
218,"Annapurna Bhavan 218",263,54
133,"Biryani House 133",266,48
200,"Chai & Chat 200",267,54
16,"Taste of Punjab 16",270,54
109,"Madras Cafe 109",274,52
100,"Chutney Express 100",275,56
39,"Delhi Darbar 39",284,60
69,"Masala Magic 69",287,52
135,"Mumbai Masala 135",293,56
181,"Delhi Darbar 181",295,50
96,"Mumbai Masala 96",297,58
146,"Mumbai Masala 146",302,48
88,"Burger Factory 88",303,58
1,"Chai & Chat 1",308,47
272,"Annapurna Bhavan 272",309,50
146,"Mumbai Masala 146",311,46
296,"Bombay Bistro 296",312,53
105,"Caf̩ Masaledar 105",315,55
248,"Taste of Punjab 248",316,56
47,"Caf̩ Masaledar 47",319,58
267,"Taste of Punjab 267",321,58
147,"The Food Studio 147",323,58
295,"Spice Villa 295",330,48
174,"Delhi Darbar 174",331,49
162,"Masala Magic 162",333,53
94,"The Food Studio 94",336,51
141,"Madras Cafe 141",340,52
66,"Caf̩ Masaledar 66",341,47
52,"Dragon Wok 52",344,59
122,"Kolkata Kitchen 122",345,59
93,"South Spice 93",347,56
243,"South Spice 243",349,46
132,"The Hungry Panda 132",353,46
296,"Bombay Bistro 296",354,54
167,"Taste of Punjab 167",355,51
196,"Punjabi Dhaba 196",356,49
173,"Chai & Chat 173",357,59
240,"Kolkata Kitchen 240",366,55
91,"Curry Kingdom 91",367,49
223,"Annapurna Bhavan 223",368,60
277,"Saffron Delight 277",369,48
156,"Pizza Junction 156",370,53
192,"The Curry Leaf 192",373,55
146,"Mumbai Masala 146",375,54
267,"Taste of Punjab 267",385,50
112,"Punjabi Dhaba 112",386,60
250,"Rasoi Ghar 250",390,55
249,"Golden Spoon 249",392,55
188,"Rasoi Ghar 188",395,60
199,"Golden Spoon 199",397,51
26,"Chai & Chat 26",401,58
252,"Mumbai Masala 252",402,60
189,"Bombay Bistro 189",403,59
156,"Pizza Junction 156",404,53
198,"Delhi Darbar 198",405,53
191,"Rasoi Ghar 191",409,47
250,"Rasoi Ghar 250",417,56
196,"Punjabi Dhaba 196",420,53
229,"Mughal Mahal 229",422,52
288,"Urban Tadka 288",426,53
87,"Bombay Bistro 87",429,48
276,"Punjabi Dhaba 276",433,54
162,"Masala Magic 162",438,54
45,"Saffron Delight 45",443,59
124,"Taste of Punjab 124",444,47
71,"Saffron Delight 71",446,53
211,"Bombay Bistro 211",449,60
291,"South Spice 291",451,58
95,"Rasoi Ghar 95",453,50
210,"Curry Kingdom 210",454,46
105,"Caf̩ Masaledar 105",455,48
161,"Pizza Junction 161",457,56
267,"Taste of Punjab 267",458,49
73,"Kolkata Kitchen 73",462,48
269,"Urban Tadka 269",466,52
130,"Tandoori Nights 130",470,51
253,"Spice Villa 253",471,57
17,"Chai & Chat 17",474,58
288,"Urban Tadka 288",476,57
45,"Saffron Delight 45",480,58
67,"Golden Spoon 67",482,51
24,"Delhi Darbar 24",485,55
19,"Chai & Chat 19",489,50
20,"Pizza Junction 20",496,48
79,"Dragon Wok 79",497,50
12,"Curry Kingdom 12",501,60
197,"Burger Factory 197",507,47
50,"Mughal Mahal 50",510,49
88,"Burger Factory 88",513,58
34,"South Spice 34",516,57
250,"Rasoi Ghar 250",518,58
223,"Annapurna Bhavan 223",523,57
244,"Mumbai Masala 244",527,55
74,"Golden Spoon 74",529,47
213,"Pizza Junction 213",530,58
261,"Curry Kingdom 261",531,48
239,"Biryani House 239",535,53
40,"Pizza Junction 40",536,54
176,"Delhi Darbar 176",537,50
289,"Royal Tandoor 289",539,60
143,"Royal Tandoor 143",541,59
58,"Curry Kingdom 58",542,57
176,"Delhi Darbar 176",544,58
212,"Saffron Delight 212",545,48
269,"Urban Tadka 269",554,48
99,"The Food Studio 99",555,59
92,"Burger Factory 92",560,51
129,"Pizza Junction 129",563,51
251,"Flavours of India 251",572,54
61,"Flavours of India 61",574,53
26,"Chai & Chat 26",577,49
55,"Masala Magic 55",578,58
193,"The Curry Leaf 193",583,51
146,"Mumbai Masala 146",584,50
223,"Annapurna Bhavan 223",591,59
60,"Chai & Chat 60",593,48
75,"The Hungry Panda 75",596,49
176,"Delhi Darbar 176",599,58
127,"Tandoori Nights 127",602,57
272,"Annapurna Bhavan 272",610,47
188,"Rasoi Ghar 188",613,55
71,"Saffron Delight 71",614,54
63,"Masala Magic 63",617,54
12,"Curry Kingdom 12",621,54
267,"Taste of Punjab 267",623,46
249,"Golden Spoon 249",624,53
177,"Chutney Express 177",630,48
63,"Masala Magic 63",631,51
80,"Masala Magic 80",632,54
174,"Delhi Darbar 174",634,50
48,"Madras Cafe 48",636,58
263,"Rasoi Ghar 263",638,51
185,"South Spice 185",639,47
177,"Chutney Express 177",640,48
213,"Pizza Junction 213",642,58
269,"Urban Tadka 269",643,57
140,"Golden Spoon 140",644,55
300,"Annapurna Bhavan 300",646,55
79,"Dragon Wok 79",647,60
25,"Chai & Chat 25",653,53
270,"Golden Spoon 270",658,55
186,"Flavours of India 186",660,58
40,"Pizza Junction 40",663,47
257,"Madras Cafe 257",667,52
3,"South Spice 3",669,52
110,"Taste of Punjab 110",671,46
54,"Royal Tandoor 54",676,53
203,"Golden Spoon 203",677,57
63,"Masala Magic 63",679,51
251,"Flavours of India 251",682,60
79,"Dragon Wok 79",684,59
278,"Curry Kingdom 278",686,54
284,"Chai & Chat 284",690,56
179,"Curry Kingdom 179",693,60
167,"Taste of Punjab 167",696,47
11,"Punjabi Dhaba 11",697,57
136,"Punjabi Dhaba 136",701,56
259,"Urban Tadka 259",704,54
264,"Pizza Junction 264",705,55
138,"Biryani House 138",707,59
249,"Golden Spoon 249",712,47
91,"Curry Kingdom 91",714,51
62,"Pizza Junction 62",717,57
255,"Golden Spoon 255",718,58
90,"The Food Studio 90",720,48
143,"Royal Tandoor 143",722,50
63,"Masala Magic 63",724,48
225,"Royal Tandoor 225",726,46
252,"Mumbai Masala 252",727,46
211,"Bombay Bistro 211",732,50
61,"Flavours of India 61",737,53
145,"South Spice 145",740,46
149,"Golden Spoon 149",741,59
235,"Biryani House 235",742,50
109,"Madras Cafe 109",743,47
24,"Delhi Darbar 24",745,52
285,"Biryani House 285",751,48
93,"South Spice 93",755,52
109,"Madras Cafe 109",756,53
236,"Burger Factory 236",759,50
169,"Flavours of India 169",760,59
62,"Pizza Junction 62",764,47
244,"Mumbai Masala 244",766,58
96,"Mumbai Masala 96",767,47
43,"The Food Studio 43",769,47
218,"Annapurna Bhavan 218",772,49
161,"Pizza Junction 161",775,49
97,"Bombay Bistro 97",781,50
242,"Dragon Wok 242",784,57
254,"Delhi Darbar 254",786,55
249,"Golden Spoon 249",787,59
119,"The Hungry Panda 119",788,53
33,"Pizza Junction 33",789,46
177,"Chutney Express 177",791,52
17,"Chai & Chat 17",797,47
137,"The Curry Leaf 137",799,52
126,"Annapurna Bhavan 126",806,46
212,"Saffron Delight 212",807,53
227,"South Spice 227",808,53
295,"Spice Villa 295",810,53
12,"Curry Kingdom 12",816,57
233,"Punjabi Dhaba 233",819,57
72,"Royal Tandoor 72",821,53
299,"Delhi Darbar 299",822,49
42,"The Food Studio 42",823,47
40,"Pizza Junction 40",824,53
136,"Punjabi Dhaba 136",825,60
214,"Chai & Chat 214",826,52
287,"Curry Kingdom 287",828,58
293,"Golden Spoon 293",829,53
71,"Saffron Delight 71",834,49
167,"Taste of Punjab 167",835,59
174,"Delhi Darbar 174",836,48
44,"Golden Spoon 44",838,54
268,"The Hungry Panda 268",839,52
228,"Pizza Junction 228",841,58
51,"Flavours of India 51",846,46
27,"The Curry Leaf 27",847,58
248,"Taste of Punjab 248",849,60
156,"Pizza Junction 156",851,48
86,"The Food Studio 86",854,50
180,"Dragon Wok 180",855,57
176,"Delhi Darbar 176",858,48
175,"Saffron Delight 175",859,58
285,"Biryani House 285",861,51
276,"Punjabi Dhaba 276",862,48
99,"The Food Studio 99",865,60
130,"Tandoori Nights 130",871,49
13,"Rasoi Ghar 13",875,47
222,"Punjabi Dhaba 222",877,60
122,"Kolkata Kitchen 122",879,59
53,"Chai & Chat 53",882,55
233,"Punjabi Dhaba 233",884,47
35,"Flavours of India 35",886,56
216,"Flavours of India 216",887,59
31,"Bombay Bistro 31",888,57
150,"Rasoi Ghar 150",890,53
54,"Royal Tandoor 54",894,51
38,"Curry Kingdom 38",897,55
135,"Mumbai Masala 135",899,55
174,"Delhi Darbar 174",901,49
126,"Annapurna Bhavan 126",904,57
168,"Annapurna Bhavan 168",905,60
86,"The Food Studio 86",907,52
165,"Caf̩ Masaledar 165",908,53
107,"Kolkata Kitchen 107",910,48
22,"Rasoi Ghar 22",913,59
108,"Taste of Punjab 108",923,55
276,"Punjabi Dhaba 276",925,57
79,"Dragon Wok 79",926,60
56,"Kolkata Kitchen 56",928,48
120,"Delhi Darbar 120",931,53
6,"Madras Cafe 6",932,46
67,"Golden Spoon 67",934,47
104,"The Food Studio 104",936,48
270,"Golden Spoon 270",937,51
201,"Biryani House 201",939,46
123,"South Spice 123",941,60
112,"Punjabi Dhaba 112",942,55
259,"Urban Tadka 259",943,48
237,"Mughal Mahal 237",944,60
168,"Annapurna Bhavan 168",946,49
103,"The Curry Leaf 103",953,46
56,"Kolkata Kitchen 56",955,55
34,"South Spice 34",958,59
211,"Bombay Bistro 211",959,51
69,"Masala Magic 69",961,60
35,"Flavours of India 35",962,58
159,"Spice Villa 159",964,47
176,"Delhi Darbar 176",968,54
114,"Biryani House 114",969,53
65,"Chai & Chat 65",971,57
121,"Spice Villa 121",972,47
126,"Annapurna Bhavan 126",973,58
86,"The Food Studio 86",975,47
247,"Tandoori Nights 247",976,47
146,"Mumbai Masala 146",978,58
261,"Curry Kingdom 261",983,60
218,"Annapurna Bhavan 218",984,50
76,"Biryani House 76",985,49
133,"Biryani House 133",995,60
300,"Annapurna Bhavan 300",997,51
137,"The Curry Leaf 137",998,57
268,"The Hungry Panda 268",999,58
249,"Golden Spoon 249",1000,58
